[2025-05-21 04:52:14] Usuario: admin | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.8556 | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 04:52:16] Usuario: admin | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.8556 | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 04:56:31] Usuario: admin | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 04:56:37] Usuario: admin | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 04:56:53] Usuario: admin | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:16:43] Usuario: admin | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:17:02] Usuario: admin | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:17:29] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:17:55] Usuario: angel | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:21:47] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:21:51] Usuario: angel | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 18:58:51] Usuario: angel | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 18:59:01] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 19:05:15] Usuario: angel | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.9652 | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 19:05:17] Usuario: angel | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.9652 | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 19:44:58] Usuario: angel | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.9652 | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 19:45:51] Usuario: angel | Acción: Nueva factura | Detalles: Número: 06621, Cliente: 26369968 | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 19:56:54] Usuario: angel | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.9652 | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 19:57:11] Usuario: angel | Acción: Editar factura | Detalles: ID: 3 | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
