[2025-05-21 04:52:14] Usuario: admin | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.8556 | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 04:52:16] Usuario: admin | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.8556 | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 04:56:31] Usuario: admin | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 04:56:37] Usuario: admin | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 04:56:53] Usuario: admin | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:16:43] Usuario: admin | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:17:02] Usuario: admin | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:17:29] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:17:55] Usuario: angel | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:21:47] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:21:51] Usuario: angel | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 05:54:49] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: Maracay, Aragua, Venezuela | Coordenadas: 10.2268928,-67.5774464
[2025-05-21 06:29:07] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: San Carlos del Zulia, Zulia, Venezuela | Coordenadas: 9.00189,-71.9105
[2025-05-21 06:31:00] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: San Carlos del Zulia, Zulia, Venezuela | Coordenadas: 9.00189,-71.9105
[2025-05-21 06:33:38] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: San Carlos del Zulia, Zulia, Venezuela | Coordenadas: 9.00189,-71.9105
[2025-05-21 06:38:48] Usuario: angel | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: San Carlos del Zulia, Zulia, Venezuela | Coordenadas: 9.00189,-71.9105
[2025-05-21 06:38:54] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: San Carlos del Zulia, Zulia, Venezuela | Coordenadas: 9.00189,-71.9105
[2025-05-21 06:41:30] Usuario: angel | Acción: Actualizar tasa BCV | Detalles: Tasa: 94.8556 | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 06:41:47] Usuario: angel | Acción: Nueva factura | Detalles: Número: 6666, Cliente: 26369968 | IP: 190.202.123.123 | Ubicación: Santa Rita, Aragua, Venezuela | Coordenadas: 10.207232,-67.567616
[2025-05-21 06:51:14] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: San Carlos del Zulia, Zulia, Venezuela | Coordenadas: 9.00189,-71.9105
[2025-05-21 06:54:46] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: San Carlos del Zulia, Zulia, Venezuela | Coordenadas: 9.00189,-71.9105
[2025-05-21 18:36:35] Usuario: angel | Acción: Cierre de sesión | Detalles: Sesión finalizada | IP: 190.202.123.123 | Ubicación: El Limón, Aragua, Venezuela | Coordenadas: 10.2839617,-67.6287515
[2025-05-21 18:49:43] Usuario: angel | Acción: Inicio de sesión | Detalles: Inicio de sesión exitoso | IP: 190.202.123.123 | Ubicación: San Carlos del Zulia, Zulia, Venezuela | Coordenadas: 9.00189,-71.9105
